Text,Lable
Need a reservation for five at seven PM.,add reservation
Can I book a table for three at eight PM?,add reservation
Reserving a spot for two at nine PM.,add reservation
Booking a table for one at ten PM.,add reservation
Need a reservation for ten at eleven PM.,add reservation
Can we get a table for eight at midnight?,add reservation
Reserving a table for seven at one AM.,add reservation
Booking a table for six at two AM.,add reservation
Need a reservation for five at three AM.,add reservation
Can I book a table for four at four AM?,add reservation
Reserving a spot for three at five AM.,add reservation
Booking a table for two at six AM.,add reservation
Need a reservation for one at seven AM.,add reservation
Can we get a table for ten at eight AM?,add reservation
Reserving a spot for nine at nine AM.,add reservation
Booking a table for eight at ten AM.,add reservation
Need a reservation for seven at eleven AM.,add reservation
Can I book a table for six at twelve PM?,add reservation
Reserving a spot for five at one PM.,add reservation
Booking a table for four at two PM.,add reservation
Need a reservation for three at three PM.,add reservation
Can we get a table for two at four PM?,add reservation
Reserving a spot for one at five PM.,add reservation
Booking a table for ten at six PM.,add reservation
Need a reservation for nine at seven PM.,add reservation
Can I book a table for eight at eight PM?,add reservation
Reserving a spot for seven at nine PM.,add reservation
Booking a table for six at ten PM.,add reservation
Need a reservation for five at eleven PM.,add reservation
Can we get a table for four at midnight?,add reservation
Reserving a spot for three at one AM.,add reservation
Booking a table for two at two AM.,add reservation
Need a reservation for one at three AM.,add reservation
Can I book a table for ten at four AM?,add reservation
Reserving a spot for nine at five AM.,add reservation
Booking a table for eight at six AM.,add reservation
Need a reservation for seven at seven AM.,add reservation
Can we get a table for six at eight AM?,add reservation
Reserving a spot for five at nine AM.,add reservation
Booking a table for four at ten AM.,add reservation
Need a reservation for three at eleven AM.,add reservation
Can I book a table for two at twelve PM?,add reservation
Reserving a spot for one at one PM.,add reservation
Booking a table for ten at two PM.,add reservation
Need a reservation for nine at three PM.,add reservation
Can we get a table for eight at four PM?,add reservation
Reserving a spot for seven at five PM.,add reservation
Booking a table for six at six PM.,add reservation
Need a reservation for five at seven PM.,add reservation
Can I book a table for four at eight PM?,add reservation
Reserving a spot for three at nine PM.,add reservation
Booking a table for two at ten PM.,add reservation
Need a reservation for one at eleven PM.,add reservation
Can we get a table for ten at midnight?,add reservation
Reserving a spot for nine at one AM.,add reservation
Booking a table for eight at two AM.,add reservation
Need a reservation for seven at three AM.,add reservation
Can I book a table for six at four AM?,add reservation
Reserving a spot for five at five AM.,add reservation
Booking a table for four at six AM.,add reservation
Need a reservation for three at seven AM.,add reservation
Can we get a table for two at eight AM?,add reservation
Reserving a spot for one at nine AM.,add reservation
Booking a table for ten at ten AM.,add reservation
Need a reservation for nine at eleven AM.,add reservation
Can I book a table for eight at twelve PM?,add reservation
Reserving a spot for seven at one PM.,add reservation
Booking a table for six at two PM.,add reservation
Need a reservation for five at three PM.,add reservation
Can we get a table for four at four PM?,add reservation
Reserving a spot for three at five PM.,add reservation
Booking a table for two at six PM.,add reservation
Need a reservation for one at seven PM.,add reservation
Can I book a table for ten at eight PM?,add reservation
Reserving a spot for nine at nine PM.,add reservation
Booking a table for eight at ten PM.,add reservation
Need a reservation for seven at eleven PM.,add reservation
Can we get a table for six at midnight?,add reservation
Reserving a spot for five at one AM.,add reservation
Booking a table for four at two AM.,add reservation
Need a reservation for three at three AM.,add reservation
Can I book a table for two at four AM?,add reservation
Reserving a spot for one at five AM.,add reservation
Booking a table for ten at six AM.,add reservation
Need a reservation for nine at seven AM.,add reservation
Can we get a table for eight at eight AM?,add reservation
Reserving a table for seven at nine AM.,add reservation
Booking a table for six at ten AM.,add reservation
Need a reservation for five at eleven AM.,add reservation
could i please see the menu,menu_request
could i see the menu,menu_request
may i have a menu please,menu_request
may i have a menu,menu_request
would it be possible to get a menu please,menu_request
would it be possible to get a menu,menu_request
could you bring us the menu please,menu_request
could you bring us the menu,menu_request
may we take a look at the menu please,menu_request
may we take a look at the menu,menu_request
is it possible to see the menu please,menu_request
is it possible to see the menu,menu_request
could i have the menu if its not too much trouble,menu_request
may i have the menu if its not too much trouble,menu_request
would you mind bringing us the menu please,menu_request
would you mind bringing us the menu,menu_request
may i kindly have the menu please,menu_request
may i kindly have the menu,menu_request
could we possibly see the menu please,menu_request
could we possibly see the menu,menu_request
might we take a look at the menu please,menu_request
might we take a look at the menu,menu_request
could you please provide the menu,menu_request
could you provide the menu,menu_request
would it be alright to get the menu please,menu_request
would it be alright to get the menu,menu_request
could you kindly bring us the menu please,menu_request
could you kindly bring us the menu,menu_request
may we kindly see the menu please,menu_request
may we kindly see the menu,menu_request
can i get the menu please,menu_request
can i get the menu,menu_request
could you bring me the menu please,menu_request
could you bring me the menu,menu_request
can we see the menu please,menu_request
can we see the menu,menu_request
can i take a look at the menu please,menu_request
can i take a look at the menu,menu_request
we'd like to see the menu please,menu_request
we'd like to see the menu,menu_request
can you get me the menu please,menu_request
can you get me the menu,menu_request
may i see the menu please,menu_request
may i see the menu,menu_request
could we have the menu please,menu_request
could we have the menu,menu_request
can i check the menu please,menu_request
can i check the menu,menu_request
we would like to see the menu please,menu_request
we would like to see the menu,menu_request
can you bring the menu please,menu_request
can you bring the menu,menu_request
can i have a look at the menu please,menu_request
can i have a look at the menu,menu_request
we would like the menu please,menu_request
we would like the menu,menu_request
i need a menu,menu_request
can we get a menu,menu_request
menu please,menu_request
menu,menu_request
we need a menu,menu_request
bring the menu please,menu_request
bring the menu,menu_request
i want to see the menu,menu_request
bring the menu over,menu_request
we need the menu here,menu_request
can i have the menu,menu_request
we need the menu now,menu_request
bring me the menu,menu_request
where is the menu,menu_request
get the menu please,menu_request
get the menu,menu_request
hey can we grab a menu,menu_request
do you have a menu we can check out,menu_request
can you hand us a menu,menu_request
got a menu we can look at,menu_request
mind bringing over the menu,menu_request
could you grab us the menu,menu_request
got a menu we can see,menu_request
hey can you bring the menu,menu_request
is there a menu we can check out,menu_request
can we get that menu,menu_request
mind getting us the menu,menu_request
could you give us the menu,menu_request
any chance we could see the menu,menu_request
bring me the menu now,menu_request
i want the menu,menu_request
where's the menu,menu_request
we’ve been waiting bring the menu,menu_request
get me the menu,menu_request
bring the menu right now,menu_request
i need the menu immediately,menu_request
where is our menu,menu_request
get the menu here now,menu_request
we want the menu now,menu_request
bring us the menu already,menu_request
fetch the menu now,menu_request
where is my menu,menu_request
get menu,menu_request
give menu,menu_request
bring menu,menu_request
I want to include two Pepsi Cup with my meal.,add order
Oh ! sorry i forget to tell you I also want one Fanta Bottle with my meal.,add order
i want to substitute the Zinger Chicken Sandwich with Crespi Chicken Sandwich.,edit order
I'd like to change the count of pizza from two to three ,add order
i want to replace Zinger Chicken Sandwich with Crespi Chicken Sandwich but still the same count ,edit order
edit the count of Pan Cake to be two and Four Seasons Pizza to be four,edit order
I'd like to change the count of Falafel Sandwich to be two and Shawarma Chicken Sandwich to be four,edit order
i want to edit the count of Hot Dog Pizza to be two and Cheese Burger Sandwich to be four,edit order
replace Pepperoni Pizza with Crespi Chicken Sandwich but for Mixed Pizza increase the count to be four ,edit order
I want to substitute the Hot Dog Pizza with Four Seasons Pizza also want  to edit the count of French Fries Plate to be two ,edit order
I'd like to change the count of pizza from two to three and replace Vanilla Donut with Chocolate Donut,edit order
replace Pepperoni Pizza with Crespi Chicken Sandwich and change its count to be five,edit order
substitute the Hot Dog Pizza with Four Seasons Pizza ,edit order
change the count of Falafel Sandwich to be two,edit order
change the order to be two Zinger Chicken Sandwich and five Crespi Chicken Sandwich and remove Pepperoni Pizza,edit order
change the order to be two Zinger Chicken Sandwich and five Crespi Chicken Sandwich ,edit order
edit the count of Zinger Chicken Sandwich to be two and Cheese Burger Sandwich to be four,edit order
remove Zinger Chicken Sandwich and add Crespi Chicken Sandwich and edit count of Pepperoni Pizza to be two,edit order
add Four Seasons Pizza and please edit the count of Vegitables Soup to be three,edit order
substitute the Hot Dog Pizza with Four Seasons Pizza and change its count to be six,edit order
could you replace the French Fries Plate with Hummus Plate ?,edit order
replace the French Fries Plate with Hummus Plate,edit order
I'd like to switch my dessert to Vanilla Donut,edit order
I'd like to switch my dessert to the Chocolate Waffle and decrease its count to be four,edit order
switch my dessert to Pan Cake,edit order
switch my main meal to Crespi Chicken Sandwich to Four Seasons Pizza ,edit order
I'd like to switch my main meal to Four Seasons Pizza and also add Hummus Plate,edit order
could you switch the French Fries Plate with Hummus Plate ?,edit order
i want to add drink to order so add one Pepsi Cup,add order
I'd like to switch my drink to the Pepsi Can,edit order
I’d like to change my soup to the Vegitables Soup,edit order
edit my drink to be Pepsi Can and dessert to be Chocolate Donut,edit order
edit my drink to be Pepsi Can and dessert to be Chocolate Donut and remove Falafel Sandwich,edit order
Could you please change my side from Hummus Plate to a Vegitables Soup?,edit order
Could you make my Sandwiches Crespi Chicken Sandwich instead of Falafel Sandwich?,edit order
I’d like to add one side of Hummus Plate to my order.,add order
I’d like to switch my appetizer to the Hummus Plate,edit order
remove Zinger Chicken Sandwich and edit dessert to be Strawberry Donut,edit order
Could you make my pizza a Hot Dog Pizza instead of a Mixed Pizza?,edit order
make my pizza a Hot Dog Pizza instead of a Mixed Pizza,edit order
I'd like to make my pizza a Hot Dog Pizza instead of a Mixed Pizza?,edit order
Could you make my drink be both Fanta Bottle and Fresh Strawberry Juice ?,edit order
Please add one Four Seasons Pizza on the side of my order.,add order
remove Hot Dog Pizza and instead of it add Cheese Burger Sandwich ,edit order
add Four Seasons Pizza and please remove the  Vegitables Soup ,edit order
add in a side of my order Fanta Bottle and remove Fresh Strawberry Juice,edit order
Could you make my dish without French Fries Plate and add Fresh Strawberry Juice?,edit order
could you please remove the Cheese Burger Sandwich from my order?,remove order
I’d like to cancel the Shawarma Chicken Sandwich,remove order
Can you take off the Shawarma Meat Sandwich ?,remove order
take off the Shawarma Meat Sandwich and Fanta Bottle ,remove order
Please remove the Falafel Sandwich from my order.,remove order
Could you cancel the Crespi Chicken Sandwich?,remove order
I’d like to take the Zinger Chicken Sandwich off my order.,remove order
Can you remove the Pepperoni Pizza from my order? ,remove order
Please cancel the Mixed Pizza.,remove order
Could you take off the Hot Dog Pizza from my order?,remove order
’d like to remove the Four Seasons Pizza from my order.,remove order
Can you cancel the Hummus Plate?,remove order
Please remove the French Fries Plate from my order.,remove order
Could you take the Vegetables Soup off my order?,remove order
Could you please help me change my reservation?,Edit_Reservation
"I would like to edit my reservation, please.",Edit_Reservation
"Could I modify my reservation, please?",Edit_Reservation
Please update my reservation.,Edit_Reservation
Would you kindly change my reservation?,Edit_Reservation
May I please update my reservation?,Edit_Reservation
Please assist me in editing my reservation.,Edit_Reservation
"I'd appreciate it if you could change my reservation, please.",Edit_Reservation
Can you please help me adjust my reservation?,Edit_Reservation
Could you please update my reservation time?,Edit_Reservation
Please modify my reservation details.,Edit_Reservation
Could you please change the reservation to a different time?,Edit_Reservation
"Would it be possible to update my reservation, please?",Edit_Reservation
Please help me modify my reservation time.,Edit_Reservation
Please change my reservation to a different date.,Edit_Reservation
"I'd like to change the reservation name, please.",Edit_Reservation
Could you please change the number of people on my reservation?,Edit_Reservation
Please assist me in changing the reservation date.,Edit_Reservation
May I please change the time of my reservation?,Edit_Reservation
Could you please help me edit the reservation details?,Edit_Reservation
Could you help me change my reservation?,Edit_Reservation
I would like to edit my reservation.,Edit_Reservation
Could I modify my reservation?,Edit_Reservation
Update my reservation.,Edit_Reservation
May I update my reservation?,Edit_Reservation
Assist me in editing my reservation.,Edit_Reservation
I'd appreciate it if you could change my reservation.,Edit_Reservation
Can you help me adjust my reservation?,Edit_Reservation
Could you update my reservation time?,Edit_Reservation
Modify my reservation details.,Edit_Reservation
Could you change the reservation to a different time?,Edit_Reservation
Would it be possible to update my reservation?,Edit_Reservation
Help me modify my reservation time.,Edit_Reservation
Change my reservation to a different date.,Edit_Reservation
I'd like to change the reservation name.,Edit_Reservation
Could you change the number of people on my reservation?,Edit_Reservation
Assist me in changing the reservation date.,Edit_Reservation
May I change the time of my reservation?,Edit_Reservation
Could you help me edit the reservation details?,Edit_Reservation
Please edit my reservation.,Edit_Reservation
"Change my reservation, please.",Edit_Reservation
Please update my reservation details.,Edit_Reservation
"Change the reservation time, please.",Edit_Reservation
Please modify the reservation for me.,Edit_Reservation
Please help me change the reservation time.,Edit_Reservation
"Change my reservation to 8 PM, please.",Edit_Reservation
Please update the reservation to include two more people.,Edit_Reservation
"Edit the reservation date, please.",Edit_Reservation
Please change my booking to tomorrow.,Edit_Reservation
Please adjust my reservation.,Edit_Reservation
"Change my reservation to 7 PM, please.",Edit_Reservation
Please edit the number of guests on my reservation.,Edit_Reservation
"Modify my reservation to a different time, please.",Edit_Reservation
Please change the reservation to Saturday.,Edit_Reservation
"Update the reservation time to 6 PM, please.",Edit_Reservation
Please help me change the number of people on my reservation.,Edit_Reservation
Please change my reservation to next week.,Edit_Reservation
"Modify the reservation time to 9 PM, please.",Edit_Reservation
Please update my reservation to a different time.,Edit_Reservation
Edit my reservation.,Edit_Reservation
Change my reservation.,Edit_Reservation
Update my reservation details.,Edit_Reservation
Change the reservation time.,Edit_Reservation
Modify the reservation for me.,Edit_Reservation
Help me change the reservation time.,Edit_Reservation
Change my reservation to 8 PM.,Edit_Reservation
Update the reservation to include two more people.,Edit_Reservation
Edit the reservation date.,Edit_Reservation
Change my booking to tomorrow.,Edit_Reservation
Adjust my reservation.,Edit_Reservation
Change my reservation to 7 PM.,Edit_Reservation
Edit the number of guests on my reservation.,Edit_Reservation
Modify my reservation to a different time.,Edit_Reservation
Change the reservation to Saturday.,Edit_Reservation
Update the reservation time to 6 PM.,Edit_Reservation
Help me change the number of people on my reservation.,Edit_Reservation
Change my reservation to next week.,Edit_Reservation
Modify the reservation time to 9 PM.,Edit_Reservation
Update my reservation to a different time.,Edit_Reservation
"Can you help me change my reservation, please?",Edit_Reservation
"I need to change my reservation, please.",Edit_Reservation
Please help me adjust my reservation.,Edit_Reservation
"Would you change the reservation for me, please?",Edit_Reservation
Please switch my reservation time.,Edit_Reservation
"Could you tweak my reservation, please?",Edit_Reservation
"I’d like to move my reservation, please.",Edit_Reservation
Please update the reservation details.,Edit_Reservation
"Can you make a change to my reservation, please?",Edit_Reservation
Please adjust the booking for me.,Edit_Reservation
Please help me with changing the reservation.,Edit_Reservation
"Can you update my reservation, please?",Edit_Reservation
"I’d like to change my booking, please.",Edit_Reservation
Please help me with a reservation edit.,Edit_Reservation
"Could you help me update my reservation, please?",Edit_Reservation
"I need a quick change to my reservation, please.",Edit_Reservation
Please adjust the reservation time.,Edit_Reservation
"Can you shift my reservation to a later time, please?",Edit_Reservation
"I need to edit my reservation, please.",Edit_Reservation
Please help me modify my booking.,Edit_Reservation
I need to change my reservation.,Edit_Reservation
Help me adjust my reservation.,Edit_Reservation
Would you change the reservation for me?,Edit_Reservation
Switch my reservation time.,Edit_Reservation
Could you tweak my reservation?,Edit_Reservation
I’d like to move my reservation.,Edit_Reservation
Update the reservation details.,Edit_Reservation
Can you make a change to my reservation?,Edit_Reservation
Adjust the booking for me.,Edit_Reservation
Help me with changing the reservation.,Edit_Reservation
Can you update my reservation?,Edit_Reservation
I’d like to change my booking.,Edit_Reservation
Help me with a reservation edit.,Edit_Reservation
Could you help me update my reservation?,Edit_Reservation
I need a quick change to my reservation.,Edit_Reservation
Adjust the reservation time.,Edit_Reservation
Can you shift my reservation to a later time?,Edit_Reservation
I need to edit my reservation.,Edit_Reservation
Help me modify my booking.,Edit_Reservation
"Change my reservation immediately, please.",Edit_Reservation
Please update the reservation right now.,Edit_Reservation
"I need this reservation changed, please.",Edit_Reservation
Please modify the reservation ASAP.,Edit_Reservation
Please change my booking now.,Edit_Reservation
"Update the reservation, please.",Edit_Reservation
"I need you to change my reservation, please.",Edit_Reservation
Please adjust my reservation immediately.,Edit_Reservation
"Change my reservation time now, please.",Edit_Reservation
Please edit my booking now.,Edit_Reservation
"I want the reservation changed, please.",Edit_Reservation
Please update the booking details now.,Edit_Reservation
"Change the time of my reservation, please.",Edit_Reservation
Please update my reservation ASAP.,Edit_Reservation
"Change my booking immediately, please.",Edit_Reservation
Please modify my reservation now.,Edit_Reservation
"I need the reservation updated, please.",Edit_Reservation
Please change the reservation immediately.,Edit_Reservation
"Edit my reservation now, please.",Edit_Reservation
Please change the reservation time now.,Edit_Reservation
Change my reservation immediately.,Edit_Reservation
Update the reservation right now.,Edit_Reservation
I need this reservation changed.,Edit_Reservation
Modify the reservation ASAP.,Edit_Reservation
Change my booking now.,Edit_Reservation
Update the reservation.,Edit_Reservation
I need you to change my reservation.,Edit_Reservation
Adjust my reservation immediately.,Edit_Reservation
Change my reservation time now.,Edit_Reservation
Edit my booking now.,Edit_Reservation
I want the reservation changed.,Edit_Reservation
Update the booking details now.,Edit_Reservation
Change the time of my reservation.,Edit_Reservation
Update my reservation ASAP.,Edit_Reservation
Change my booking immediately.,Edit_Reservation
Modify my reservation now.,Edit_Reservation
I need the reservation updated.,Edit_Reservation
Change the reservation immediately.,Edit_Reservation
Edit my reservation now.,Edit_Reservation
Change the reservation time now.,Edit_Reservation
"Is it possible to update my reservation, please?",Edit_Reservation
"Could you assist with modifying my reservation, please?",Edit_Reservation
Please tell me if I can change my reservation.,Edit_Reservation
"Could you check if I can change my reservation, please?",Edit_Reservation
"May I update my booking, please?",Edit_Reservation
"Is it possible to adjust my reservation, please?",Edit_Reservation
Please let me know how to change my reservation.,Edit_Reservation
Can you please verify if my reservation can be changed?,Edit_Reservation
Could you please tell me how to edit my reservation?,Edit_Reservation
"Is there a way to change my reservation, please?",Edit_Reservation
Please help me find a way to update my reservation.,Edit_Reservation
"Can you tell me if it's possible to modify my reservation, please?",Edit_Reservation
"Is it possible to shift my reservation time, please?",Edit_Reservation
"Can you check if I can move my reservation, please?",Edit_Reservation
Please help me figure out how to change my booking.,Edit_Reservation
"Is it possible to change the reservation date, please?",Edit_Reservation
Can you please help me change the reservation time?,Edit_Reservation
Could you please see if I can adjust my reservation?,Edit_Reservation
"Is there a way to modify my booking, please?",Edit_Reservation
Can you help me change my reservation?,Edit_Reservation
Is it possible to update my reservation?,Edit_Reservation
Could you assist with modifying my reservation?,Edit_Reservation
Tell me if I can change my reservation.,Edit_Reservation
Could you check if I can change my reservation?,Edit_Reservation
May I update my booking?,Edit_Reservation
Is it possible to adjust my reservation?,Edit_Reservation
Let me know how to change my reservation.,Edit_Reservation
Can you verify if my reservation can be changed?,Edit_Reservation
Could you tell me how to edit my reservation?,Edit_Reservation
Is there a way to change my reservation?,Edit_Reservation
Help me find a way to update my reservation.,Edit_Reservation
Can you tell me if it's possible to modify my reservation?,Edit_Reservation
Is it possible to shift my reservation time?,Edit_Reservation
Can you check if I can move my reservation?,Edit_Reservation
Help me figure out how to change my booking.,Edit_Reservation
Is it possible to change the reservation date?,Edit_Reservation
Can you help me change the reservation time?,Edit_Reservation
Could you see if I can adjust my reservation?,Edit_Reservation
Is there a way to modify my booking?,Edit_Reservation
Could you please assist in altering my reservation?,Edit_Reservation
"I'd appreciate your help in updating my reservation, please.",Edit_Reservation
"Would you be able to change my reservation, please?",Edit_Reservation
"May I kindly request a change to my reservation, please?",Edit_Reservation
Could you please adjust my booking details?,Edit_Reservation
Please help me with modifying my reservation.,Edit_Reservation
"I'd be grateful if you could update my reservation, please.",Edit_Reservation
"Could you kindly change my reservation time, please?",Edit_Reservation
Please assist me in making changes to my reservation.,Edit_Reservation
Would you please update my reservation details?,Edit_Reservation
Please modify my reservation for a different time.,Edit_Reservation
Could you please help me reschedule my reservation?,Edit_Reservation
Please change the booking to another time.,Edit_Reservation
"Could you update the reservation for me, please?",Edit_Reservation
Please assist me in changing the date of my reservation.,Edit_Reservation
Could you please switch my reservation to a new time?,Edit_Reservation
"I'd like to request a change to my reservation, please.",Edit_Reservation
"May I ask you to edit my reservation, please?",Edit_Reservation
Could you please move my reservation to a different time?,Edit_Reservation
Please change the reservation time to a later slot.,Edit_Reservation
Could you assist in altering my reservation?,Edit_Reservation
I'd appreciate your help in updating my reservation.,Edit_Reservation
Would you be able to change my reservation?,Edit_Reservation
May I kindly request a change to my reservation?,Edit_Reservation
Could you adjust my booking details?,Edit_Reservation
Help me with modifying my reservation.,Edit_Reservation
I'd be grateful if you could update my reservation.,Edit_Reservation
Could you kindly change my reservation time?,Edit_Reservation
Assist me in making changes to my reservation.,Edit_Reservation
Would you update my reservation details?,Edit_Reservation
Modify my reservation for a different time.,Edit_Reservation
Could you help me reschedule my reservation?,Edit_Reservation
Change the booking to another time.,Edit_Reservation
Could you update the reservation for me?,Edit_Reservation
Assist me in changing the date of my reservation.,Edit_Reservation
Could you switch my reservation to a new time?,Edit_Reservation
I'd like to request a change to my reservation.,Edit_Reservation
May I ask you to edit my reservation?,Edit_Reservation
Could you move my reservation to a different time?,Edit_Reservation
Change the reservation time to a later slot.,Edit_Reservation
Please make changes to my reservation.,Edit_Reservation
"Change the booking time for me, please.",Edit_Reservation
Please edit the reservation details for me.,Edit_Reservation
Please update my reservation to a later time.,Edit_Reservation
"Modify the booking details, please.",Edit_Reservation
Please adjust the reservation for me.,Edit_Reservation
Please change my booking to include more guests.,Edit_Reservation
"Adjust the reservation time, please.",Edit_Reservation
Please move my reservation to a different slot.,Edit_Reservation
Please modify my booking.,Edit_Reservation
"Change my reservation to 9 PM, please.",Edit_Reservation
Please change the date of my reservation.,Edit_Reservation
Please update my reservation to a different day.,Edit_Reservation
"Change the booking time to a later hour, please.",Edit_Reservation
Please adjust the time of my reservation.,Edit_Reservation
Please update the reservation to reflect a new time.,Edit_Reservation
"Change my reservation to a different day, please.",Edit_Reservation
Please edit my booking to a new time.,Edit_Reservation
Please update my reservation to 8 PM.,Edit_Reservation
Make changes to my reservation.,Edit_Reservation
Change the booking time for me.,Edit_Reservation
Edit the reservation details for me.,Edit_Reservation
Update my reservation to a later time.,Edit_Reservation
Modify the booking details.,Edit_Reservation
Adjust the reservation for me.,Edit_Reservation
Change my booking to include more guests.,Edit_Reservation
Move my reservation to a different slot.,Edit_Reservation
Modify my booking.,Edit_Reservation
Change my reservation to 9 PM.,Edit_Reservation
Change the date of my reservation.,Edit_Reservation
Update my reservation to a different day.,Edit_Reservation
Change the booking time to a later hour.,Edit_Reservation
Adjust the time of my reservation.,Edit_Reservation
Update the reservation to reflect a new time.,Edit_Reservation
Change my reservation to a different day.,Edit_Reservation
Edit my booking to a new time.,Edit_Reservation
Update my reservation to 8 PM.,Edit_Reservation
Can you please change my booking time?,Edit_Reservation
"I need to update my reservation, please.",Edit_Reservation
Please help me move my reservation to a new time.,Edit_Reservation
"Would you mind changing my reservation, please?",Edit_Reservation
Please adjust my reservation for tomorrow.,Edit_Reservation
"Could you switch my booking time, please?",Edit_Reservation
"I’d like to push my reservation to a later time, please.",Edit_Reservation
Please help me change the reservation date.,Edit_Reservation
"Can you adjust my booking for me, please?",Edit_Reservation
Please shift my reservation time.,Edit_Reservation
Please help me change the booking time.,Edit_Reservation
"Can you move my reservation to a different slot, please?",Edit_Reservation
"I’d like to update the booking time, please.",Edit_Reservation
Please help me with this reservation change.,Edit_Reservation
"Could you help me switch the reservation time, please?",Edit_Reservation
"I need a quick change to the reservation, please.",Edit_Reservation
Please adjust my booking details.,Edit_Reservation
Can you please move my reservation to later in the evening?,Edit_Reservation
"I need to reschedule my reservation, please.",Edit_Reservation
Please help me update my booking.,Edit_Reservation
Can you change my booking time?,Edit_Reservation
I need to update my reservation.,Edit_Reservation
Help me move my reservation to a new time.,Edit_Reservation
Would you mind changing my reservation?,Edit_Reservation
Adjust my reservation for tomorrow.,Edit_Reservation
Could you switch my booking time?,Edit_Reservation
I’d like to push my reservation to a later time.,Edit_Reservation
Help me change the reservation date.,Edit_Reservation
Can you adjust my booking for me?,Edit_Reservation
Shift my reservation time.,Edit_Reservation
Help me change the booking time.,Edit_Reservation
Can you move my reservation to a different slot?,Edit_Reservation
I’d like to update the booking time.,Edit_Reservation
Help me with this reservation change.,Edit_Reservation
Could you help me switch the reservation time?,Edit_Reservation
I need a quick change to the reservation.,Edit_Reservation
Adjust my booking details.,Edit_Reservation
Can you move my reservation to later in the evening?,Edit_Reservation
I need to reschedule my reservation.,Edit_Reservation
Help me update my booking.,Edit_Reservation
Please change my reservation now.,Edit_Reservation
"Change the reservation immediately, please.",Edit_Reservation
"I need the booking time updated now, please.",Edit_Reservation
Please modify my reservation right away.,Edit_Reservation
Please change the reservation time urgently.,Edit_Reservation
"Update my booking as soon as possible, please.",Edit_Reservation
Please adjust my reservation without delay.,Edit_Reservation
"I need you to change my reservation time right now, please.",Edit_Reservation
"Change the booking for me now, please.",Edit_Reservation
Please update my reservation right away.,Edit_Reservation
Please change my booking immediately.,Edit_Reservation
"Modify the reservation now, please.",Edit_Reservation
"Change the reservation time now, please.",Edit_Reservation
Please adjust the reservation time immediately.,Edit_Reservation
Please change my booking time immediately.,Edit_Reservation
"Update my reservation right now, please.",Edit_Reservation
Please move the reservation to another time now.,Edit_Reservation
"Change the booking to a later time, please.",Edit_Reservation
Please adjust my reservation details now.,Edit_Reservation
"Change the reservation now, please.",Edit_Reservation
Change my reservation now.,Edit_Reservation
I need the booking time updated now.,Edit_Reservation
Modify my reservation right away.,Edit_Reservation
Change the reservation time urgently.,Edit_Reservation
Update my booking as soon as possible.,Edit_Reservation
Adjust my reservation without delay.,Edit_Reservation
I need you to change my reservation time right now.,Edit_Reservation
Change the booking for me now.,Edit_Reservation
Update my reservation right away.,Edit_Reservation
Modify the reservation now.,Edit_Reservation
Adjust the reservation time immediately.,Edit_Reservation
Change my booking time immediately.,Edit_Reservation
Update my reservation right now.,Edit_Reservation
Move the reservation to another time now.,Edit_Reservation
Change the booking to a later time.,Edit_Reservation
Adjust my reservation details now.,Edit_Reservation
Change the reservation now.,Edit_Reservation
Can you please assist in changing my reservation time?,Edit_Reservation
"Is it possible to modify my reservation, please?",Edit_Reservation
Could you please help me adjust the booking?,Edit_Reservation
Please tell me if the reservation can be updated.,Edit_Reservation
"Can you confirm if I can change my booking, please?",Edit_Reservation
"May I request a change to my reservation, please?",Edit_Reservation
"Is there a way to update the booking time, please?",Edit_Reservation
Could you please let me know how to change the reservation?,Edit_Reservation
"Can you check if my reservation can be changed, please?",Edit_Reservation
Please help me figure out how to adjust the booking.,Edit_Reservation
"Is it possible to move the reservation to another time, please?",Edit_Reservation
"Can you assist me in modifying my reservation, please?",Edit_Reservation
Please verify if the reservation time can be changed.,Edit_Reservation
Could you please confirm if the booking can be adjusted?,Edit_Reservation
"Can you check if it’s possible to change my reservation, please?",Edit_Reservation
Please help me find a way to update the booking time.,Edit_Reservation
"Is there a way to change the reservation details, please?",Edit_Reservation
"Can you check if I can update my booking, please?",Edit_Reservation
Could you please assist in rescheduling the reservation?,Edit_Reservation
"Is it possible to modify the reservation time, please?",Edit_Reservation
Can you assist in changing my reservation time?,Edit_Reservation
Is it possible to modify my reservation?,Edit_Reservation
Could you help me adjust the booking?,Edit_Reservation
Tell me if the reservation can be updated.,Edit_Reservation
Can you confirm if I can change my booking?,Edit_Reservation
May I request a change to my reservation?,Edit_Reservation
Is there a way to update the booking time?,Edit_Reservation
Could you let me know how to change the reservation?,Edit_Reservation
Can you check if my reservation can be changed?,Edit_Reservation
Help me figure out how to adjust the booking.,Edit_Reservation
Is it possible to move the reservation to another time?,Edit_Reservation
Can you assist me in modifying my reservation?,Edit_Reservation
Verify if the reservation time can be changed.,Edit_Reservation
Could you confirm if the booking can be adjusted?,Edit_Reservation
Can you check if it’s possible to change my reservation?,Edit_Reservation
Help me find a way to update the booking time.,Edit_Reservation
Is there a way to change the reservation details?,Edit_Reservation
Can you check if I can update my booking?,Edit_Reservation
Could you assist in rescheduling the reservation?,Edit_Reservation
Is it possible to modify the reservation time?,Edit_Reservation
I’d like to cancel the Strawberry Donut.,remove order
cancel the Pan Cake from my order.,remove order
Can you remove the Vanilla Donut from my order?,remove order
